modelName, participant, isFiltered, Accuracy, correct, wrong, False paced, False slowBreath, False stressor, False baseline, SD paced, SD slowBreath, SD stressor, SD baseline, Predictions, Unique Predictions, Paced Samples, slowBreath Samples, Stressor Samples, Baseline Samples
models-eegLib-pure/Shallow,OpenBCISession_2020-03-06_10-28-17-LUKE-2000ep-2000ep.h5,False,0.36486486486486486,81,141,3,133,0,5,0.060097903,0.095746115,0.00032381734,0.0814307,222,119,50024,50136,45087,15030
models-eegLib-pure/EEGNet,OpenBCISession_2020-02-06_11-26-48-TWO-2000ep.h5,False,0.32432432432432434,72,150,0,2,148,0,0.046573944,0.086874716,0.09479527,0.028794939,222,222,50174,50139,45091,15088
models-eegLib-pure/EEGNet,OpenBCISession_2020-02-06_12-08-05-THREE-2000ep.h5,False,0.18834080717488788,42,181,176,5,0,0,0.1743696,0.1743696,0.0,0.0,223,2,50141,50139,45149,15030
models-eegLib-pure/EEGNet,OpenBCISession_2020-02-07_10-42-36-FOUR.2-2000ep.h5,False,0.18834080717488788,42,181,176,5,0,0,0.17436957,0.17436957,0.0,0.0,223,2,50150,50117,45147,15062
models-eegLib-pure/EEGNet,OpenBCISession_2020-02-07_11-12-39-FIVE-2000ep.h5,False,0.18385650224215247,41,182,182,0,0,0,2.3948534e-08,2.5977611e-08,2.530204e-14,0.0,223,7,50111,50115,45035,15030
models-eegLib-pure/EEGNet,OpenBCISession_2020-02-07_12-09-54-SIX-2000ep.h5,False,0.36936936936936937,82,140,0,140,0,0,0.0,0.0,2.4998702e-13,0.0,222,4,50138,50031,45084,15040
models-eegLib-pure/EEGNet,OpenBCISession_2020-02-10_10-55-19=ONE.2-2000ep.h5,False,0.3333333333333333,74,148,24,0,124,0,0.30203667,0.0,0.3020367,0.0,222,82,50160,50140,45098,15030
models-eegLib-pure/EEGNet,OpenBCISession_2020-02-14_11-09-00-SEVEN-2000ep.h5,False,0.11210762331838565,25,198,0,0,0,198,0.0,0.0,0.0,0.0,223,1,50086,50114,45048,15027
models-eegLib-pure/EEGNet,OpenBCISession_2020-02-14_11-43-46-EIGHT-2000ep.h5,False,0.34375,77,147,3,0,144,0,0.13243198,0.0,0.13243198,0.0,224,3,50140,50150,45208,15030
models-eegLib-pure/EEGNet,OpenBCISession_2020-02-23_16-49-310-VIR-2000ep.h5,False,0.3273542600896861,73,150,0,0,144,6,0.0,0.0,0.17436957,0.17436957,223,2,50077,50143,45042,15031
