models-high-double-lstm,OpenBCISession_2020-02-29_17-51-57-BAHAR-1000ep.h5,True, 17,13,10,1
,,,2,61,19,0
,,,4,10,58,2
,,,3,7,8,7

models-high-double-lstm,OpenBCISession_2020-03-06_10-28-17-LUKE-1000ep.h5,True, 17,19,3,2
,,,3,71,7,1
,,,7,19,43,5
,,,2,7,7,9

models,OpenBCISession_2020-02-06_11-26-48-TWO.h5,False, 0,0,1,0
,,,0,0,2,0
,,,0,0,4,0
,,,0,0,1,0

models,OpenBCISession_2020-02-06_12-08-05-THREE.h5,False, 1,0,0,0
,,,0,2,0,0
,,,0,0,4,0
,,,0,0,0,1

models,OpenBCISession_2020-02-07_10-42-36-FOUR.2.h5,False, 1,0,0,0
,,,0,2,0,0
,,,0,0,4,0
,,,0,0,1,0

models,OpenBCISession_2020-02-07_11-12-39-FIVE.h5,False, 0,0,1,0
,,,0,2,0,0
,,,0,0,4,0
,,,0,0,0,1

models,OpenBCISession_2020-02-07_12-09-54-SIX.h5,False, 0,1,0,0
,,,0,2,0,0
,,,0,1,3,0
,,,0,0,1,0

models,OpenBCISession_2020-02-10_10-55-19=ONE.2.h5,False, 1,0,0,0
,,,0,2,0,0
,,,0,1,3,0
,,,0,0,0,1

models,OpenBCISession_2020-02-14_11-09-00-SEVEN.h5,False, 0,0,1,0
,,,0,1,1,0
,,,0,0,4,0
,,,0,0,0,1

models,OpenBCISession_2020-02-14_11-43-46-EIGHT.h5,False, 0,0,1,0
,,,0,2,0,0
,,,0,0,4,0
,,,0,0,0,1

models,OpenBCISession_2020-02-23_16-49-310-VIR.h5,False, 1,0,0,0
,,,0,0,2,0
,,,0,0,4,0
,,,0,0,1,0

models,OpenBCISession_2020-02-23_18-14-52-ISH.h5,False, 1,0,0,0
,,,0,2,0,0
,,,0,0,4,0
,,,0,0,0,1

models,OpenBCISession_2020-02-29_17-19-28-ELI.h5,False, 0,0,1,0
,,,0,0,2,0
,,,0,0,4,0
,,,0,0,1,0

models,OpenBCISession_2020-02-29_17-51-57-BAHAR.h5,False, 0,0,1,0
,,,0,2,0,0
,,,0,1,3,0
,,,0,0,0,1

models,OpenBCISession_2020-03-06_10-28-17-LUKE.h5,False, 0,0,1,0
,,,0,2,0,0
,,,0,1,3,0
,,,0,0,0,1

modelsv2,OpenBCISession_2020-02-06_11-26-48-TWO-1000ep.h5,False, 1,15,5,0
,,,2,25,15,0
,,,0,13,25,0
,,,1,10,2,0

modelsv2,OpenBCISession_2020-02-06_12-08-05-THREE-1000ep.h5,False, 21,0,0,0
,,,0,40,2,0
,,,7,13,18,1
,,,0,0,0,13

modelsv2,OpenBCISession_2020-02-07_10-42-36-FOUR.2-1000ep.h5,False, 0,0,21,0
,,,0,21,21,0
,,,0,10,29,0
,,,0,11,0,2

modelsv2,OpenBCISession_2020-02-07_11-12-39-FIVE-1000ep.h5,False, 20,0,1,0
,,,1,41,0,0
,,,10,3,26,0
,,,0,0,5,8

modelsv2,OpenBCISession_2020-02-07_12-09-54-SIX-1000ep.h5,False, 0,0,21,0
,,,0,21,21,0
,,,0,0,28,10
,,,0,0,0,13

modelsv2,OpenBCISession_2020-02-10_10-55-19=ONE.2-1000ep.h5,False, 0,19,2,0
,,,0,38,3,1
,,,0,32,6,0
,,,0,0,6,7

modelsv2,OpenBCISession_2020-02-14_11-09-00-SEVEN-1000ep.h5,False, 0,0,21,0
,,,0,21,21,0
,,,0,2,27,10
,,,0,0,0,13

modelsv2,OpenBCISession_2020-02-14_11-43-46-EIGHT-1000ep.h5,False, 0,21,0,0
,,,0,42,0,0
,,,0,40,0,0
,,,0,13,0,0

modelsv2,OpenBCISession_2020-02-23_16-49-310-VIR-1000ep.h5,False, 0,0,21,0
,,,0,21,21,0
,,,0,10,29,0
,,,0,8,0,5

modelsv2,OpenBCISession_2020-02-23_18-14-52-ISH-1000ep.h5,False, 21,0,0,0
,,,0,42,0,0
,,,3,12,24,1
,,,0,13,0,0

modelsv2,OpenBCISession_2020-02-29_17-19-28-ELI-1000ep.h5,False, 7,13,1,0
,,,3,37,2,0
,,,5,29,5,0
,,,2,11,0,0

modelsv2,OpenBCISession_2020-02-29_17-51-57-BAHAR-1000ep.h5,False, 0,21,0,0
,,,0,36,6,0
,,,0,28,10,0
,,,0,0,2,11

modelsv2,OpenBCISession_2020-03-06_10-28-17-LUKE-1000ep.h5,False, 21,0,0,0
,,,0,42,0,0
,,,9,23,5,1
,,,0,0,0,13

models-filt-double-lstm,OpenBCISession_2020-02-06_11-26-48-TWO-2000ep.h5,False, 0,41,0,0
,,,0,82,0,0
,,,0,74,0,0
,,,0,25,0,0

models-filt-double-lstm,OpenBCISession_2020-02-06_12-08-05-THREE-2000ep.h5,False, 0,0,41,0
,,,0,36,46,0
,,,0,18,57,0
,,,0,25,0,0

models-filt-double-lstm,OpenBCISession_2020-02-07_10-42-36-FOUR.2-2000ep.h5,False, 0,41,0,0
,,,0,82,0,0
,,,0,75,0,0
,,,0,25,0,0

models-filt-double-lstm,OpenBCISession_2020-02-07_11-12-39-FIVE-2000ep.h5,False, 0,0,41,0
,,,0,0,82,0
,,,0,0,69,6
,,,0,0,6,19

models-filt-double-lstm,OpenBCISession_2020-02-07_12-09-54-SIX-2000ep.h5,False, 0,41,0,0
,,,0,82,0,0
,,,0,74,0,0
,,,0,25,0,0

models-filt-double-lstm,OpenBCISession_2020-02-10_10-55-19=ONE.2-2000ep.h5,False, 0,0,41,0
,,,0,0,82,0
,,,0,0,74,0
,,,0,0,25,0

models-filt-double-lstm,OpenBCISession_2020-02-14_11-09-00-SEVEN-2000ep.h5,False, 0,0,41,0
,,,0,0,82,0
,,,0,20,55,0
,,,0,23,2,0

models-filt-double-lstm,OpenBCISession_2020-02-14_11-43-46-EIGHT-2000ep.h5,False, 0,0,0,41
,,,0,0,1,81
,,,0,0,0,76
,,,0,0,0,25

models-filt-double-lstm,OpenBCISession_2020-02-23_16-49-310-VIR-2000ep.h5,False, 0,41,0,0
,,,0,41,41,0
,,,0,42,33,0
,,,0,25,0,0

models-filt-double-lstm,OpenBCISession_2020-02-23_18-14-52-ISH-2000ep.h5,False, 0,0,41,0
,,,23,0,59,0
,,,19,0,57,0
,,,24,0,1,0

models-filt-double-lstm,OpenBCISession_2020-02-29_17-19-28-ELI-2000ep.h5,False, 0,41,0,0
,,,0,82,0,0
,,,0,75,0,0
,,,0,25,0,0

models-filt-double-lstm,OpenBCISession_2020-02-29_17-51-57-BAHAR-2000ep.h5,False, 0,0,41,0
,,,0,39,43,0
,,,0,36,38,0
,,,0,0,25,0

models-filt-double-lstm,OpenBCISession_2020-03-06_10-28-17-LUKE-2000ep.h5,False, 0,41,0,0
,,,23,59,0,0
,,,19,55,0,0
,,,25,0,0,0

